carrier,name,ambulance,application_fee,baby_care,brand_drugs,chiropractic,coinsurance,deductible,emergency_room,generic_drugs,hospitalization,hsa_eligible,labor,lifetime_maximum,mail_order_drugs,mental_health,obgyn_exam,oon_authorization,oon_coinsurance,oon_coverage,oon_deductible,oon_oop_limit,oop_limit,out_of_country,pcp_required,pcp_visit,periodic_exam,plan_type,prenatal_office_visit,separate_rx_deductible,specialist_referrals_required,specialist_visit,specialty_drugs,substance_abuse,surgery,urgent_care,xray
Aetna,CA Platinum Basic HMO Copay Plan,$150 copay per trip,None,No charge,$25,$15 copay/visit for Acupuncture,0%,$0 individual / $0 family,$150 copay/visit,$15,$250 copay per day for the first 5 days per admission,No,$250 copay per day for the first 5 days per admission,None,"",$20 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$40 copay/visit,10%,$20 copay/visit,No charge after deductible,$40 copay/visit,Minor: $40 copay/visit; Major: $150 copay/visit
Aetna,CA Platinum HMO Copay Plan,$150 copay per trip,None,No charge,$25,$15 copay/visit for Acupuncture,0%,$0 individual / $0 family,$150 copay/visit,$15,$250 copay per day for the first 5 days per admission,No,$250 copay per day for the first 5 days per admission,None,"",$20 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$40 copay/visit,10%,$20 copay/visit,No charge after deductible,$40 copay/visit,Minor: $40 copay/visit; Major: $150 copay/visit
Aetna,CA Platinum MC Copay Plan,$150 copay/trip,None,No charge,$25,$20 copay/visit for acupuncture,0%,$0 individual / $0 family,$150 copay/visit,$15,$250 copay/day for the first 5 days per admission,No,$250 copay/day for the first 5 days per admission,None,"",$20 copay/visit,No charge,"",N/A,Yes,"$1,000 individual / 2000 family","$8,000 individual / 16000 family","$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,$40 copay/visit,10%,$20 copay/visit,No charge after deductible,$40 copay/visit,Minor: $40 copay/visit; Major: $150 copay/visit
Aetna,CA Platinum Savings Plus Copay Plan,$150 copay per trip,None,No charge,$25,$20 copay/visit for Acupuncture,0%,$0 individual / $0 family,$150 copay/visit,$15,$250 copay per day for the first 5 days per admission,No,$250 copay per day for the first 5 days per admission,None,"",$20 copay/visit,No charge,"",N/A,Yes,"$1,000 individual / 2000 family","$8,000 individual / 16000 family","$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,$40 copay/visit,10%,$20 copay/visit,No charge after deductible,$40 copay/visit,Minor: $40 copay/visit; Major: $150 copay/visit
Aetna,CA Silver Basic HMO Ded Copay Plan,$250 copay per trip,None,No charge,$70,$15 copay/visit for Acupuncture,20%,"$1,500 individual / 3000 family",$250 copay/visit,$50,20% coinsurance,No,20% coinsurance,None,"","$45 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$45 copay/visit, deductible waived",No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,"$65 copay/visit, deductible waived",20%,"$45 copay/visit, deductible waived","20% coinsurance, deductible waived","$90 copay/visit, deductible waived","Minor: $65 copay/visit, deductible waived; Major: $250 copay/visit, deductible waived"
Aetna,CA Silver Basic HMO Deductible 1000,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$1,000 individual / 2000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver Basic HMO Deductible 1500,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$1,500 individual / 3000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver Basic HMO Deductible 2000,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$2,000 individual / 4000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver HMO Deductible 1000,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$1,000 individual / 2000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver HMO Deductible 1500,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$1,500 individual / 3000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver HMO Deductible 2000,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$2,000 individual / 4000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver HMO Deductible Copay Plan,$250 copay per trip,None,No charge,$70,$15 copay/visit for Acupuncture,20%,"$1,500 individual / 3000 family",$250 copay/visit,$50,20% coinsurance,No,20% coinsurance,None,"","$45 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$45 copay/visit, deductible waived",No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,"$65 copay/visit, deductible waived",20%,"$45 copay/visit, deductible waived","20% coinsurance, deductible waived","$90 copay/visit, deductible waived","Minor: $65 copay/visit, deductible waived; Major: $250 copay/visit, deductible waived"
Aetna,CA Silver Indemnity 1500 80,20% coinsurance,None,No charge,30%,20% coinsurance  and acupuncture,20%,"$1,500 individual / 3000 family",20% coinsurance,$50,20% coinsurance,No,20% coinsurance,None,"",Outpatient office visits: 20% coinsurance; All other outpatient services: No charge after deductible,No charge,"",None,No,None,None,"$6,350 individual / 12700 family",Emergency Coverage Only,No,20% coinsurance,No charge,Indemnity,No charge after deductible,None,No,20% coinsurance,Not Covered,Outpatient office visits: 20% coinsurance; All other outpatient services: No charge after deductible,20% coinsurance,20% coinsurance,Minor: 20% coinsurance; Major: 20% coinsurance
Aetna,CA Silver MC 1000 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for acupuncture",40%,"$1,000 individual / 2000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","Outpatient office visits:$40 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$2,000 individual / 4000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,"$40 copay/visit, deductible waived",30%,"Outpatient office visits:$40 copay/visit, deductible waived; All other outpatient services: No charge",50% coinsurance forhospital facility; 40% coinsurance for free standing facility,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver MC 1000 75/50,25% coinsurance,None,No charge,$100,"25% coinsurance ; $30 copay/visit, deductible waived for acupuncture",25%,"$1,000 individual / 2000 family",25% coinsurance,$60,25% coinsurance,No,25% coinsurance,None,"","Outpatient office visits:$30 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$2,000 individual / 4000 family","$12,000 individual / 24000 family","$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,No charge after deductible,None,Yes,"$30 copay/visit, deductible waived",30%,"Outpatient office visits:$30 copay/visit, deductible waived; All other outpatient services: No charge",35% coinsurance forhospital facility; 25% coinsurance for free standing facility,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 25% coinsurance"
Aetna,CA Silver MC 1500 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for acupuncture",40%,"$1,500 individual / 3000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","Outpatient office visits:$60 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$3,000 individual / 6000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,"$60 copay/visit, deductible waived",30%,"Outpatient office visits:$60 copay/visit, deductible waived; All other outpatient services: No charge",50% coinsurance forhospital facility; 40% coinsurance for free standing facility,"$50 copay/visit, deductible waived","Minor: $60 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver MC 2000 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for acupuncture",40%,"$2,000 individual / 4000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","Outpatient office visits:$50 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$4,000 individual / 8000 family","$12,700 individual / 25400 family","$6,3500 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,"$50 copay/visit, deductible waived",30%,"Outpatient office visits:$50 copay/visit, deductible waived; All other outpatient services: No charge",50% coinsurance forhospital facility; 40% coinsurance for free standing facility,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver MC 3000 65/50,35% coinsurance,None,No charge,$100,"35% coinsurance ; $30 copay/visit, deductible waived for acupuncture",35%,"$3,000 individual / 6000 family",35% coinsurance,$50,35% coinsurance,No,35% coinsurance,None,"","Outpatient office visits:$60 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$6,000 individual / 12000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"Outpatient office visits:$60 copay/visit, deductible waived; All other outpatient services: No charge",45% coinsurance forhospital facility; 35% coinsurance for free standing facility,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 35% coinsurance"
Aetna,CA Silver MC Coinsurance Plan,$250 copay/trip,None,No charge,$70,"$45 copay/visit, deductible waived for acupuncture",20%,"$1,500 individual / 3000 family",$250 copay/visit,$50,20% coinsurance,No,20% coinsurance,None,"","$45 copay/visit, deductible waived",No charge,"",N/A,Yes,"$3,000 individual / 6000 family","$12,500 individual / 25000 family","$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$45 copay/visit, deductible waived",No charge,POS,Prenatal: No charge; Postnatal: 20% coinsurance; deductible waived,Medical Deductible Applies,Yes,"$65 copay/visit, deductible waived",20%,"$45 copay/visit, deductible waived","20% coinsurance, deductible waived","$90 copay/visit, deductible waived","Minor: $65 copay/visit, deductible waived; Major: 20% coinsurance"
Aetna,CA Silver PrimeCare HMO Deductible 1000,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$1,000 individual / 2000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,No charge after deductible,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver PrimeCare HMO Deductible 2000,$150 copay per trip,None,No charge,$100,"$15 copay/visit, deductible waived  and Acupuncture",0%,"$2,000 individual / 4000 family",$300 copay/visit,$50,$500 copay per day for first 3 days per admission,No,$500 copay per day for first 3 days per admission,None,"","$60 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$40 copay/visit, deductible waived",No charge,HMO,Prenatal: No charge after deductible; Postnatal: 0% coinsurance,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $40 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Silver PrimeCare MC 1000 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for Acupuncture",40%,"$1,000 individual / 2000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","$40 copay/visit, deductible waived",No charge,"",N/A,Yes,"$2,000 individual / 4000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 40% coinsurance,Medical Deductible Applies,Yes,"$40 copay/visit, deductible waived",30%,"$40 copay/visit, deductible waived",40% coinsurance,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver Savings Plus 1000 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for Acupuncture",40%,"$1,000 individual / 2000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","$40 copay/visit, deductible waived",No charge,"",N/A,Yes,"$2,000 individual / 4000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 40% coinsurance,Medical Deductible Applies,Yes,"$40 copay/visit, deductible waived",30%,"$40 copay/visit, deductible waived",40% coinsurance,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver Savings Plus 1000 75/50,25% coinsurance,None,No charge,$100,"25% coinsurance ; $30 copay/visit, deductible waived for Acupuncture",25%,"$1,000 individual / 2000 family",25% coinsurance,$60,25% coinsurance,No,25% coinsurance,None,"","$30 copay/visit, deductible waived",No charge,"",N/A,Yes,"$2,000 individual / 4000 family","$12,000 individual / 24000 family","$6,000 individual / 12000 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 25% coinsurance,None,Yes,"$30 copay/visit, deductible waived",30%,"$30 copay/visit, deductible waived",25% coinsurance,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 25% coinsurance"
Aetna,CA Silver Savings Plus 1500 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for Acupuncture",40%,"$1,500 individual / 3000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","$60 copay/visit, deductible waived",No charge,"",N/A,Yes,"$3,000 individual / 6000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 40% coinsurance,Medical Deductible Applies,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",40% coinsurance,"$50 copay/visit, deductible waived","Minor: $60 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver Savings Plus 2000 60/50,40% coinsurance,None,No charge,$100,"40% coinsurance ; $30 copay/visit, deductible waived for Acupuncture",40%,"$2,000 individual / 4000 family",40% coinsurance,$50,40% coinsurance,No,40% coinsurance,None,"","$50 copay/visit, deductible waived",No charge,"",N/A,Yes,"$4,000 individual / 8000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 40% coinsurance,Medical Deductible Applies,Yes,"$50 copay/visit, deductible waived",30%,"$50 copay/visit, deductible waived",40% coinsurance,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 40% coinsurance"
Aetna,CA Silver Savings Plus 3000 65/50,35% coinsurance,None,No charge,$100,"35% coinsurance ; $30 copay/visit, deductible waived for Acupuncture",35%,"$3,000 individual / 6000 family",35% coinsurance,$50,35% coinsurance,No,35% coinsurance,None,"","$60 copay/visit, deductible waived",No charge,"",N/A,Yes,"$6,000 individual / 12000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,"$30 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 35% coinsurance,None,Yes,"$60 copay/visit, deductible waived",30%,"$60 copay/visit, deductible waived",35% coinsurance,"$50 copay/visit, deductible waived","Minor: $30 copay/visit, deductible waived; Major: 35% coinsurance"
Aetna,CA Silver Savings Plus Coinsurance Plan,$250 copay per trip,None,No charge,$70,"$45 copay/visit, deductible waived for Acupuncture",20%,"$1,500 individual / 3000 family",$250 copay/visit,$50,20% coinsurance,No,20% coinsurance,None,"","$45 copay/visit, deductible waived",No charge,"",N/A,Yes,"$3,000 individual / 6000 family","$12,500 individual / 25000 family","$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$45 copay/visit, deductible waived",No charge,POS,Prenatal: No charge; Postnatal: 20% coinsurance; deductible waived,Medical Deductible Applies,Yes,"$65 copay/visit, deductible waived",20%,"$45 copay/visit, deductible waived","20% coinsurance, deductible waived","$90 copay/visit, deductible waived","Minor: $65 copay/visit, deductible waived; Major: 20% coinsurance"
Anthem Blue Cross,Anthem Bronze PPO 5000/30%/6250,$300 copay per trip and then 0% coinsurance,None,No charge,$50 copay per prescription,$60 copay,30% coinsurance,"$5,000 individual / $10,000 family",$300 copay per visit and then 0% coinsurance,$15 copay per prescription,30% coinsurance,No,30% coinsurance,None,"",$60 copay per visit for the first 3 visits and then 0% coinsurance,No charge,"",50% coinsurance,Yes,"$10,000 individual / $20,000 family",None,"$6,250 individual / $12,500 family",Emergency Coverage Only,No,$60 copay per visit for the first 3 visits and then 0% coinsurance after deductible,No charge,PPO,30% coinsurance,Medical deductible applies,No,$70 copay per visit for the first 3 visits and then 0% coinsurance after deductible,30% coinsurance up to $500,$60 copay per visit for the first 3 visits and then 0% coinsurance,30% coinsurance,$120 copay per visit,30% coinsurance
Anthem Blue Cross,Anthem Bronze PPO 5500/30%/6450 w/HSA,30% coinsurance,None,No charge,30% coinsurance,30% coinsurance,30% coinsurance,"$5,500 individual / $11,000 family",30% coinsurance,30% coinsurance,30% coinsurance,Yes,30% coinsurance,None,"",30% coinsurance ,No charge,"",50% coinsurance,Yes,"$11,000 individual / $22,000 family",None,"$6,450 individual / $12,900 family",Emergency Coverage Only,Yes,30% coinsurance after deductible,No charge,POS,30% coinsurance,Medical deductible applies,Yes,30% coinsurance after deductible,30% coinsurance,30% coinsurance ,30% coinsurance,30% coinsurance,30% coinsurance
Anthem Blue Cross,Anthem Bronze PPO 6000/35%/6600,35% coinsurance,None,No charge,$50 copay per prescription,$70 copay,35% coinsurance,"$6,000 individual / $12,000 family",35% coinsurance,$15 copay per prescription,35% coinsurance,No,35% coinsurance,None,"",$70 copay per visit for the first 3 visits and then 35% coinsurance,No charge,"",50% coinsurance,Yes,"$12,000 individual / $24,000 family",None,"$6,600 individual / $13,200 family",Emergency Coverage Only,No,$70 copay per visit for the first 3 visits and then 35% coinsurance after deductible,No charge,PPO,35% coinsurance,$250 individual / $500 family,No,$70 copay per visit for the first 3 visits and then 35% coinsurance after deductible,25% coinsurance up to $250,$70 copay per visit for the first 3 visits and then 35% coinsurance,35% coinsurance,35% coinsurance,35% coinsurance
Anthem Blue Cross,Anthem Bronze PPO 6350/0%/6350 w/HSA,0% coinsurance,None,No charge,0% coinsurance,0% coinsurance,0% coinsurance,"$6,350 individual / $12,700 family",0% coinsurance,0% coinsurance,0% coinsurance,Yes,0% coinsurance,None,"",0% coinsurance ,No charge,"",50% coinsurance,Yes,"$12,700 individual / $25,400 family",None,"$6,350 individual / $12,700 family",Emergency Coverage Only,Yes,0% coinsurance after deductible,No charge,POS,0% coinsurance,Medical deductible applies,Yes,0% coinsurance after deductible,0% coinsurance,0% coinsurance ,0% coinsurance,0% coinsurance,0% coinsurance
Anthem Blue Cross,Anthem Bronze Select PPO 5000/30%/6250 Plus,$300 copay per trip and then 0% coinsurance,None,No charge,$50 copay per prescription,$60 copay,30% coinsurance,"$5,000 individual / $10,000 family",$300 copay per visit and then 0% coinsurance,$15 copay per prescription,30% coinsurance,No,30% coinsurance,None,"",$60 copay per visit for the first 3 visits and then 0% coinsurance,No charge,"",50% coinsurance,Yes,"$10,000 individual / $20,000 family",None,"$6,250 individual / $12,500 family",Emergency Coverage Only,No,$60 copay per visit for the first 3 visits and then 0% coinsurance after deductible,No charge,PPO,30% coinsurance,Medical deductible applies,No,$70 copay per visit for the first 3 visits and then 0% coinsurance after deductible,30% coinsurance up to $500,$60 copay per visit for the first 3 visits and then 0% coinsurance,30% coinsurance,$120 copay per visit,30% coinsurance
Anthem Blue Cross,Anthem Bronze Select PPO 5500/30%/6450 w/HSA,30% coinsurance,None,No charge,30% coinsurance,30% coinsurance,30% coinsurance,"$5,500 individual / $11,000 family",30% coinsurance,30% coinsurance,30% coinsurance,Yes,30% coinsurance,None,"",30% coinsurance ,No charge,"",50% coinsurance,Yes,"$11,000 individual / $22,000 family",None,"$6,450 individual / $12,900 family",Emergency Coverage Only,Yes,30% coinsurance after deductible,No charge,POS,30% coinsurance,Medical deductible applies,Yes,30% coinsurance after deductible,30% coinsurance,30% coinsurance ,30% coinsurance,30% coinsurance,30% coinsurance
Anthem Blue Cross,Anthem Bronze Select PPO 5750/35%/6450 Plus,35% coinsurance,None,No charge,$50 copay per prescription,$50 copay,35% coinsurance,"$5,750 individual / $11,500 family",35% coinsurance and then $300 copay per visit,$15 copay per prescription,"35% coinsurance and then $1,000 copay per admission",No,"35% coinsurance and then $1,000 copay per admission",None,"",$50 copay per visit for the first 3 visits and then 35% coinsurance,No charge,"",50% coinsurance,Yes,"$11,500 individual / $23,000 family",None,"$6,450 individual / $12,900 family",Emergency Coverage Only,No,$50 copay per visit for the first 3 visits and then 35% coinsurance after deductible,No charge,PPO,35% coinsurance,$250 individual / $500 family,No,$50 copay per visit for the first 3 visits and then 35% coinsurance after deductible,30% coinsurance up to $500,$50 copay per visit for the first 3 visits and then 35% coinsurance,35% coinsurance,35% coinsurance,35% coinsurance
Anthem Blue Cross,Anthem Bronze Select PPO 6000/35%/6600,35% coinsurance,None,No charge,$50 copay per prescription,$70 copay,35% coinsurance,"$6,000 individual / $12,000 family",35% coinsurance,$15 copay per prescription,35% coinsurance,No,35% coinsurance,None,"",$70 copay per visit for the first 3 visits and then 35% coinsurance,No charge,"",50% coinsurance,Yes,"$12,000 individual / $24,000 family",None,"$6,600 individual / $13,200 family",Emergency Coverage Only,No,$70 copay per visit for the first 3 visits and then 35% coinsurance after deductible,No charge,PPO,35% coinsurance,$250 individual / $500 family,No,$70 copay per visit for the first 3 visits and then 35% coinsurance after deductible,25% coinsurance up to $250,$70 copay per visit for the first 3 visits and then 35% coinsurance,35% coinsurance,35% coinsurance,35% coinsurance
Anthem Blue Cross,Anthem Bronze Select PPO 6350/0%/6350 w/HSA,0% coinsurance,None,No charge,0% coinsurance,0% coinsurance,0% coinsurance,"$6,350 individual / $12,700 family",0% coinsurance,0% coinsurance,0% coinsurance,Yes,0% coinsurance,None,"",0% coinsurance ,No charge,"",50% coinsurance,Yes,"$12,700 individual / $25,400 family",None,"$6,350 individual / $12,700 family",Emergency Coverage Only,Yes,0% coinsurance after deductible,No charge,POS,0% coinsurance,Medical deductible applies,Yes,0% coinsurance after deductible,0% coinsurance,0% coinsurance ,0% coinsurance,0% coinsurance,0% coinsurance
Anthem Blue Cross,Anthem Gold HMO 35/20%/6600,20% coinsurance,None,No charge,$35 copay per prescription,$35 copay,20% coinsurance,$0,$250 copay per visit,$15 copay per prescription,"$750 copay per day up to $2,250 per admission",No,"$750 copay per day up to $2,250 per admission",None,"",$35 copay per visit ,No charge,"",None,No,N/A,None,"$6,600 individual / $13,200 family",Emergency Coverage Only,Yes,$35 copay per visit,No charge,HMO,No charge after deductible,$250 individual / $500 family,Yes,$60 copay per visit,$70 copay per prescription,$35 copay per visit ,No charge after deductible,$60 copay per visit,$250 copay per visit
Anthem Blue Cross,Anthem Gold HMO 35/25%/6600,25% coinsurance,None,No charge,$30 copay per prescription,$35 copay,25% coinsurance,$0,$250 copay per visit,$10 copay per prescription,"$1,000 copay per day up to $3,000 per admission",No,"$1,000 copay per day up to $3,000 per admission",None,"",$35 copay per visit ,No charge,"",None,No,N/A,None,"$6,600 individual / $13,200 family",Emergency Coverage Only,Yes,$35 copay per visit,No charge,HMO,No charge after deductible,"$500 individual / $1,000 family",Yes,$60 copay per visit,$60 copay per prescription,$35 copay per visit ,No charge after deductible,$60 copay per visit,$250 copay per visit
Anthem Blue Cross,Anthem Gold PPO 2000/20%/4000 w/HRA,20% coinsurance,None,No charge,20% coinsurance,20% coinsurance,20% coinsurance,"$2,000 individual / $4,000 family",20% coinsurance,20% coinsurance,20% coinsurance,No,20% coinsurance,None,"",20% coinsurance ,No charge,"",50% coinsurance,Yes,"$4,000 individual / $8,000 family",None,"$4,000 individual / $8,000 family",Emergency Coverage Only,No,20% coinsurance after deductible,No charge,PPO,20% coinsurance,Medical deductible applies,No,20% coinsurance after deductible,20% coinsurance,20% coinsurance ,20% coinsurance,20% coinsurance,20% coinsurance
